SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.01647816, 0.03112516, -0.92844617, 2.30773187, -17.46180344, -9.47523403, -179.07044983, -41.21601868, -23.29728127, -4.42882919, 6.84670305, 137.19775391, 0.36182407, 0.06962847, 0.01413797, -0.92953509, 0.13692187, 0.04561549, -0.06130303, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.01136406, 0.02340908, -0.95350385, 1.59687197, -20.46420860, -10.13144207, -179.04121399, -41.80064392, -24.02806091, -4.42293739, 6.63485432, 137.11192322, 0.36262977, 0.06790544, 0.01471615, -0.92933959, 0.12832314, 0.05320455, -0.03667284, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.00957103, 0.02003072, -0.98313403, 0.54352921, -23.78533173, -10.63557148, -179.04121399, -41.80064392, -24.02806091, -4.40080738, 6.33371401, 137.04147339, 0.36336240, 0.06540670, 0.01546028, -0.92922050, 0.12224362, 0.05651076, -0.00754450, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.01031527, 0.01320396, -1.01494873, -0.53829986, -25.03240967, -11.11078453, -181.32124329, -42.56065369, -24.29114342, -4.41614246, 6.07559061, 136.94938660, 0.36422557, 0.06337873, 0.01636106, -0.92900765, 0.11784703, 0.06323418, 0.02369063, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, -0.01485940, 0.01024190, -1.05398166, -2.13072681, -27.25146484, -11.04591751, -179.62583923, -41.24525070, -23.00496864, -4.44671345, 5.79535866, 136.85981750, 0.36506933, 0.06122120, 0.01746103, -0.92880112, 0.11767729, 0.06665590, 0.06225925, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, -0.00954224, 0.00528476, -1.10250795, -4.55953169, -27.98006821, -10.52383041, -185.09207153, -42.44372940, -24.11575508, -4.50053787, 5.50820446, 136.77629089, 0.36585420, 0.05908239, 0.01877818, -0.92860508, 0.10739250, 0.07241834, 0.11034587, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, -0.00016420, 0.00209027, -1.13557780, -7.03057289, -26.83021545, -10.04693508, -180.53201294, -41.42063522, -23.00496864, -4.57825994, 5.23279476, 136.69702148, 0.36658701, 0.05711599, 0.02025621, -0.92840809, 0.09313290, 0.07685557, 0.14304449, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.01157957, 0.00642406, -1.15129721, -9.07372952, -25.50138283, -9.48132610, -180.53201294, -41.42063522, -23.00496864, -4.65511179, 4.95205116, 136.62829590, 0.36723781, 0.05510355, 0.02175222, -0.92823857, 0.07667868, 0.07402672, 0.15845490, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.02488031, 0.01209558, -1.18009961, -10.57786465, -23.60045433, -8.45228672, -180.67816162, -41.97602844, -22.88804436, -4.76637220, 4.70990562, 136.56318665, 0.36782593, 0.05351464, 0.02340597, -0.92805851, 0.05876534, 0.06996530, 0.18698946, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.03188020, 0.02054430, -1.20332396, -12.47330570, -20.62116241, -7.67621136, -180.85354614, -41.01139832, -23.23881912, -4.89586735, 4.49796343, 136.50386047, 0.36834645, 0.05222915, 0.02511386, -0.92788053, 0.04788902, 0.06366325, 0.21007454, 0.00000000, 0.00000000, 0.00000000, 0.00000000
